province,country,last_update,confirmed,suspected,recovered,deaths,date,location,is_china,active
Guangxi,Mainland China,2020-01-25 12:00:00,33,0,0,0,2020-01-25,"Guangxi, Mainland China",True,33
Guizhou,Mainland China,2020-01-25 12:00:00,4,0,0,0,2020-01-25,"Guizhou, Mainland China",True,4
Guizhou,Mainland China,2020-01-25 12:00:00,5,0,0,0,2020-01-25,"Guizhou, Mainland China",True,5
Hainan,Mainland China,2020-01-25 12:00:00,19,0,0,0,2020-01-25,"Hainan, Mainland China",True,19
Hainan,Mainland China,2020-01-25 12:00:00,19,0,0,0,2020-01-25,"Hainan, Mainland China",True,19
Hebei,Mainland China,2020-01-25 12:00:00,8,0,0,1,2020-01-25,"Hebei, Mainland China",True,7
Hebei,Mainland China,2020-01-25 12:00:00,13,0,0,1,2020-01-25,"Hebei, Mainland China",True,12
Heilongjiang,Mainland China,2020-01-25 12:00:00,9,0,0,1,2020-01-25,"Heilongjiang, Mainland China",True,8
Heilongjiang,Mainland China,2020-01-25 12:00:00,15,0,0,1,2020-01-25,"Heilongjiang, Mainland China",True,14
Henan,Mainland China,2020-01-25 12:00:00,32,1,0,0,2020-01-25,"Henan, Mainland China",True,32
Henan,Mainland China,2020-01-25 12:00:00,83,3,0,1,2020-01-25,"Henan, Mainland China",True,82
Hubei,Mainland China,2020-01-25 12:00:00,761,0,32,40,2020-01-25,"Hubei, Mainland China",True,689
Hunan,Mainland China,2020-01-25 12:00:00,43,0,0,0,2020-01-25,"Hunan, Mainland China",True,43
Hunan,Mainland China,2020-01-25 12:00:00,69,0,0,0,2020-01-25,"Hunan, Mainland China",True,69
Inner Mongolia,Mainland China,2020-01-25 12:00:00,7,0,0,0,2020-01-25,"Inner Mongolia, Mainland China",True,7
Inner Mongolia,Mainland China,2020-01-25 12:00:00,7,0,0,0,2020-01-25,"Inner Mongolia, Mainland China",True,7
Jiangsu,Mainland China,2020-01-25 12:00:00,18,0,1,0,2020-01-25,"Jiangsu, Mainland China",True,17
Jiangsu,Mainland China,2020-01-25 12:00:00,31,0,1,0,2020-01-25,"Jiangsu, Mainland China",True,30
Jiangxi,Mainland China,2020-01-25 12:00:00,18,0,0,0,2020-01-25,"Jiangxi, Mainland China",True,18
Jiangxi,Mainland China,2020-01-25 12:00:00,36,0,0,0,2020-01-25,"Jiangxi, Mainland China",True,36
Jilin,Mainland China,2020-01-25 12:00:00,4,0,0,0,2020-01-25,"Jilin, Mainland China",True,4
Jilin,Mainland China,2020-01-25 12:00:00,4,0,0,0,2020-01-25,"Jilin, Mainland China",True,4
Liaoning,Mainland China,2020-01-25 12:00:00,17,0,0,0,2020-01-25,"Liaoning, Mainland China",True,17
Liaoning,Mainland China,2020-01-25 12:00:00,19,0,0,0,2020-01-25,"Liaoning, Mainland China",True,19
Ningxia,Mainland China,2020-01-25 12:00:00,3,1,0,0,2020-01-25,"Ningxia, Mainland China",True,3
Ningxia,Mainland China,2020-01-25 12:00:00,4,1,0,0,2020-01-25,"Ningxia, Mainland China",True,4
Qinghai,Mainland China,2020-01-25 12:00:00,1,0,0,0,2020-01-25,"Qinghai, Mainland China",True,1
Qinghai,Mainland China,2020-01-25 12:00:00,1,0,0,0,2020-01-25,"Qinghai, Mainland China",True,1
Shaanxi,Mainland China,2020-01-25 12:00:00,15,0,0,0,2020-01-25,"Shaanxi, Mainland China",True,15
Shaanxi,Mainland China,2020-01-25 12:00:00,15,0,0,0,2020-01-25,"Shaanxi, Mainland China",True,15
Shandong,Mainland China,2020-01-25 12:00:00,27,0,0,0,2020-01-25,"Shandong, Mainland China",True,27
Shandong,Mainland China,2020-01-25 12:00:00,39,0,0,0,2020-01-25,"Shandong, Mainland China",True,39
Shanghai,Mainland China,2020-01-25 12:00:00,33,72,1,0,2020-01-25,"Shanghai, Mainland China",True,32
Shanghai,Mainland China,2020-01-25 12:00:00,40,72,1,1,2020-01-25,"Shanghai, Mainland China",True,38
Shanxi,Mainland China,2020-01-25 12:00:00,6,0,0,0,2020-01-25,"Shanxi, Mainland China",True,6
Shanxi,Mainland China,2020-01-25 12:00:00,9,0,0,0,2020-01-25,"Shanxi, Mainland China",True,9
Sichuan,Mainland China,2020-01-25 12:00:00,28,4,0,0,2020-01-25,"Sichuan, Mainland China",True,28
Sichuan,Mainland China,2020-01-25 12:00:00,44,4,0,0,2020-01-25,"Sichuan, Mainland China",True,44
Tianjin,Mainland China,2020-01-25 12:00:00,10,0,0,0,2020-01-25,"Tianjin, Mainland China",True,10
Tianjin,Mainland China,2020-01-25 12:00:00,13,0,0,0,2020-01-25,"Tianjin, Mainland China",True,13
Xinjiang,Mainland China,2020-01-25 12:00:00,3,0,0,0,2020-01-25,"Xinjiang, Mainland China",True,3
Xinjiang,Mainland China,2020-01-25 12:00:00,4,0,0,0,2020-01-25,"Xinjiang, Mainland China",True,4
Yunnan,Mainland China,2020-01-25 12:00:00,11,58,0,0,2020-01-25,"Yunnan, Mainland China",True,11
Yunnan,Mainland China,2020-01-25 12:00:00,11,58,0,0,2020-01-25,"Yunnan, Mainland China",True,11
Zhejiang,Mainland China,2020-01-25 12:00:00,62,0,1,0,2020-01-25,"Zhejiang, Mainland China",True,61
,Malaysia,2020-01-25 12:00:00,3,0,0,0,2020-01-25,Malaysia,False,3
,Malaysia,2020-01-25 12:00:00,3,0,0,0,2020-01-25,Malaysia,False,3
,Nepal,2020-01-25 12:00:00,1,0,0,0,2020-01-25,Nepal,False,1
,Nepal,2020-01-25 12:00:00,1,0,0,0,2020-01-25,Nepal,False,1
,Singapore,2020-01-25 12:00:00,3,0,0,0,2020-01-25,Singapore,False,3
,Singapore,2020-01-25 12:00:00,3,0,0,0,2020-01-25,Singapore,False,3
,South Korea,2020-01-25 12:00:00,2,0,0,0,2020-01-25,South Korea,False,2
,South Korea,2020-01-25 12:00:00,3,0,0,0,2020-01-25,South Korea,False,3
Taiwan,Taiwan,2020-01-25 12:00:00,3,0,0,0,2020-01-25,"Taiwan, Taiwan",False,3
Taiwan,Taiwan,2020-01-25 12:00:00,3,0,0,0,2020-01-25,"Taiwan, Taiwan",False,3
,Thailand,2020-01-25 12:00:00,7,0,0,0,2020-01-25,Thailand,False,7
,Thailand,2020-01-25 12:00:00,7,0,0,0,2020-01-25,Thailand,False,7
Illinois,US,2020-01-25 12:00:00,1,0,0,0,2020-01-25,"Illinois, US",False,1
Illinois,US,2020-01-25 12:00:00,1,0,0,0,2020-01-25,"Illinois, US",False,1
Washington,US,2020-01-25 12:00:00,1,0,0,0,2020-01-25,"Washington, US",False,1
Washington,US,2020-01-25 12:00:00,1,0,0,0,2020-01-25,"Washington, US",False,1
,Vietnam,2020-01-25 12:00:00,2,0,0,0,2020-01-25,Vietnam,False,2
,Vietnam,2020-01-25 12:00:00,2,0,0,0,2020-01-25,Vietnam,False,2
Hubei,Mainland China,2020-01-25 22:00:00,1052,0,42,52,2020-01-25,"Hubei, Mainland China",True,958
Zhejiang,Mainland China,2020-01-25 22:00:00,104,0,1,0,2020-01-25,"Zhejiang, Mainland China",True,103
,Australia,2020-01-26 11:00:00,4,0,0,0,2020-01-26,Australia,False,4
Ontario,Canada,2020-01-26 11:00:00,1,0,0,0,2020-01-26,"Ontario, Canada",False,1
,France,2020-01-26 11:00:00,3,0,0,0,2020-01-26,France,False,3
Hong Kong,Hong Kong,2020-01-26 11:00:00,8,244,0,0,2020-01-26,"Hong Kong, Hong Kong",False,8
,Japan,2020-01-26 11:00:00,4,0,1,0,2020-01-26,Japan,False,3
Macau,Macau,2020-01-26 11:00:00,5,0,0,0,2020-01-26,"Macau, Macau",False,5
Anhui,Mainland China,2020-01-26 11:00:00,60,4,0,0,2020-01-26,"Anhui, Mainland China",True,60
Beijing,Mainland China,2020-01-26 11:00:00,68,0,2,0,2020-01-26,"Beijing, Mainland China",True,66
Chongqing,Mainland China,2020-01-26 11:00:00,75,0,0,0,2020-01-26,"Chongqing, Mainland China",True,75
Fujian,Mainland China,2020-01-26 11:00:00,35,20,0,0,2020-01-26,"Fujian, Mainland China",True,35
Gansu,Mainland China,2020-01-26 11:00:00,7,0,0,0,2020-01-26,"Gansu, Mainland China",True,7
Guangdong,Mainland China,2020-01-26 11:00:00,111,0,2,0,2020-01-26,"Guangdong, Mainland China",True,109
Guangxi,Mainland China,2020-01-26 11:00:00,36,0,0,0,2020-01-26,"Guangxi, Mainland China",True,36
Guizhou,Mainland China,2020-01-26 11:00:00,5,0,0,0,2020-01-26,"Guizhou, Mainland China",True,5
Hainan,Mainland China,2020-01-26 11:00:00,22,0,0,0,2020-01-26,"Hainan, Mainland China",True,22
Hebei,Mainland China,2020-01-26 11:00:00,13,0,0,1,2020-01-26,"Hebei, Mainland China",True,12
Heilongjiang,Mainland China,2020-01-26 11:00:00,15,0,0,1,2020-01-26,"Heilongjiang, Mainland China",True,14
Henan,Mainland China,2020-01-26 11:00:00,83,3,0,1,2020-01-26,"Henan, Mainland China",True,82
Hubei,Mainland China,2020-01-26 11:00:00,1058,0,42,52,2020-01-26,"Hubei, Mainland China",True,964
Hunan,Mainland China,2020-01-26 11:00:00,69,0,0,0,2020-01-26,"Hunan, Mainland China",True,69
Inner Mongolia,Mainland China,2020-01-26 11:00:00,7,0,0,0,2020-01-26,"Inner Mongolia, Mainland China",True,7
Jiangsu,Mainland China,2020-01-26 11:00:00,33,0,1,0,2020-01-26,"Jiangsu, Mainland China",True,32
Jiangxi,Mainland China,2020-01-26 11:00:00,36,0,0,0,2020-01-26,"Jiangxi, Mainland China",True,36
Jilin,Mainland China,2020-01-26 11:00:00,4,0,0,0,2020-01-26,"Jilin, Mainland China",True,4
Liaoning,Mainland China,2020-01-26 11:00:00,21,0,0,0,2020-01-26,"Liaoning, Mainland China",True,21
Ningxia,Mainland China,2020-01-26 11:00:00,4,0,0,0,2020-01-26,"Ningxia, Mainland China",True,4
Qinghai,Mainland China,2020-01-26 11:00:00,1,0,0,0,2020-01-26,"Qinghai, Mainland China",True,1
Shaanxi,Mainland China,2020-01-26 11:00:00,22,0,0,0,2020-01-26,"Shaanxi, Mainland China",True,22
Shandong,Mainland China,2020-01-26 11:00:00,46,0,0,0,2020-01-26,"Shandong, Mainland China",True,46
Shanghai,Mainland China,2020-01-26 11:00:00,40,72,1,1,2020-01-26,"Shanghai, Mainland China",True,38
Shanxi,Mainland China,2020-01-26 11:00:00,9,0,0,0,2020-01-26,"Shanxi, Mainland China",True,9
Sichuan,Mainland China,2020-01-26 11:00:00,44,4,0,0,2020-01-26,"Sichuan, Mainland China",True,44
Tianjin,Mainland China,2020-01-26 11:00:00,14,0,0,0,2020-01-26,"Tianjin, Mainland China",True,14
Xinjiang,Mainland China,2020-01-26 11:00:00,4,0,0,0,2020-01-26,"Xinjiang, Mainland China",True,4
Yunnan,Mainland China,2020-01-26 11:00:00,16,36,0,0,2020-01-26,"Yunnan, Mainland China",True,16
Zhejiang,Mainland China,2020-01-26 11:00:00,104,0,1,0,2020-01-26,"Zhejiang, Mainland China",True,103
,Malaysia,2020-01-26 11:00:00,4,0,0,0,2020-01-26,Malaysia,False,4
,Nepal,2020-01-26 11:00:00,1,0,0,0,2020-01-26,Nepal,False,1
,Singapore,2020-01-26 11:00:00,4,0,0,0,2020-01-26,Singapore,False,4
,South Korea,2020-01-26 11:00:00,3,0,0,0,2020-01-26,South Korea,False,3
Taiwan,Taiwan,2020-01-26 11:00:00,4,0,0,0,2020-01-26,"Taiwan, Taiwan",False,4
,Thailand,2020-01-26 11:00:00,8,0,2,0,2020-01-26,Thailand,False,6
Illinois,US,2020-01-26 11:00:00,1,0,0,0,2020-01-26,"Illinois, US",False,1
Washington,US,2020-01-26 11:00:00,1,0,0,0,2020-01-26,"Washington, US",False,1
,Vietnam,2020-01-26 11:00:00,2,0,0,0,2020-01-26,Vietnam,False,2
Arizona,US,2020-01-26 16:30:00,1,0,0,0,2020-01-26,"Arizona, US",False,1
California,US,2020-01-26 16:30:00,2,0,0,0,2020-01-26,"California, US",False,2
,Australia,2020-01-26 23:00:00,4,0,0,0,2020-01-26,Australia,False,4
Ontario,Canada,2020-01-26 23:00:00,1,0,0,0,2020-01-26,"Ontario, Canada",False,1
,France,2020-01-26 23:00:00,3,0,0,0,2020-01-26,France,False,3
Hong Kong,Hong Kong,2020-01-26 23:00:00,8,0,0,0,2020-01-26,"Hong Kong, Hong Kong",False,8
,Japan,2020-01-26 23:00:00,4,0,1,0,2020-01-26,Japan,False,3
Macau,Macau,2020-01-26 23:00:00,6,0,0,0,2020-01-26,"Macau, Macau",False,6
Anhui,Mainland China,2020-01-26 23:00:00,70,0,0,0,2020-01-26,"Anhui, Mainland China",True,70
Beijing,Mainland China,2020-01-26 23:00:00,68,0,2,0,2020-01-26,"Beijing, Mainland China",True,66
Chongqing,Mainland China,2020-01-26 23:00:00,110,0,0,0,2020-01-26,"Chongqing, Mainland China",True,110
Fujian,Mainland China,2020-01-26 23:00:00,35,0,0,0,2020-01-26,"Fujian, Mainland China",True,35
Gansu,Mainland China,2020-01-26 23:00:00,14,0,0,0,2020-01-26,"Gansu, Mainland China",True,14
Guangdong,Mainland China,2020-01-26 23:00:00,146,0,2,0,2020-01-26,"Guangdong, Mainland China",True,144
Guangxi,Mainland China,2020-01-26 23:00:00,46,0,0,0,2020-01-26,"Guangxi, Mainland China",True,46
Guizhou,Mainland China,2020-01-26 23:00:00,7,0,0,0,2020-01-26,"Guizhou, Mainland China",True,7
Hainan,Mainland China,2020-01-26 23:00:00,22,0,0,0,2020-01-26,"Hainan, Mainland China",True,22
Hebei,Mainland China,2020-01-26 23:00:00,18,0,0,1,2020-01-26,"Hebei, Mainland China",True,17
Heilongjiang,Mainland China,2020-01-26 23:00:00,21,0,0,1,2020-01-26,"Heilongjiang, Mainland China",True,20
Henan,Mainland China,2020-01-26 23:00:00,128,0,0,1,2020-01-26,"Henan, Mainland China",True,127
Hubei,Mainland China,2020-01-26 23:00:00,1423,0,44,76,2020-01-26,"Hubei, Mainland China",True,1303
Hunan,Mainland China,2020-01-26 23:00:00,100,0,0,0,2020-01-26,"Hunan, Mainland China",True,100
Inner Mongolia,Mainland China,2020-01-26 23:00:00,11,0,0,0,2020-01-26,"Inner Mongolia, Mainland China",True,11
Jiangsu,Mainland China,2020-01-26 23:00:00,47,0,1,0,2020-01-26,"Jiangsu, Mainland China",True,46
Jiangxi,Mainland China,2020-01-26 23:00:00,48,0,0,0,2020-01-26,"Jiangxi, Mainland China",True,48
Jilin,Mainland China,2020-01-26 23:00:00,6,0,0,0,2020-01-26,"Jilin, Mainland China",True,6
Liaoning,Mainland China,2020-01-26 23:00:00,23,0,0,0,2020-01-26,"Liaoning, Mainland China",True,23
Ningxia,Mainland China,2020-01-26 23:00:00,4,0,0,0,2020-01-26,"Ningxia, Mainland China",True,4
Qinghai,Mainland China,2020-01-26 23:00:00,4,0,0,0,2020-01-26,"Qinghai, Mainland China",True,4
Shaanxi,Mainland China,2020-01-26 23:00:00,22,0,0,0,2020-01-26,"Shaanxi, Mainland China",True,22
Shandong,Mainland China,2020-01-26 23:00:00,63,0,0,0,2020-01-26,"Shandong, Mainland China",True,63
Shanghai,Mainland China,2020-01-26 23:00:00,53,0,1,1,2020-01-26,"Shanghai, Mainland China",True,51
Shanxi,Mainland China,2020-01-26 23:00:00,13,0,0,0,2020-01-26,"Shanxi, Mainland China",True,13
Sichuan,Mainland China,2020-01-26 23:00:00,69,0,0,0,2020-01-26,"Sichuan, Mainland China",True,69
Tianjin,Mainland China,2020-01-26 23:00:00,14,0,0,0,2020-01-26,"Tianjin, Mainland China",True,14
Xinjiang,Mainland China,2020-01-26 23:00:00,5,0,0,0,2020-01-26,"Xinjiang, Mainland China",True,5
Yunnan,Mainland China,2020-01-26 23:00:00,19,0,0,0,2020-01-26,"Yunnan, Mainland China",True,19
Zhejiang,Mainland China,2020-01-26 23:00:00,128,0,1,0,2020-01-26,"Zhejiang, Mainland China",True,127
,Malaysia,2020-01-26 23:00:00,4,0,0,0,2020-01-26,Malaysia,False,4
,Nepal,2020-01-26 23:00:00,1,0,0,0,2020-01-26,Nepal,False,1
,Singapore,2020-01-26 23:00:00,4,0,0,0,2020-01-26,Singapore,False,4
,South Korea,2020-01-26 23:00:00,3,0,0,0,2020-01-26,South Korea,False,3
Taiwan,Taiwan,2020-01-26 23:00:00,4,0,0,0,2020-01-26,"Taiwan, Taiwan",False,4
,Thailand,2020-01-26 23:00:00,8,0,2,0,2020-01-26,Thailand,False,6
Arizona,US,2020-01-26 23:00:00,1,0,0,0,2020-01-26,"Arizona, US",False,1
California,US,2020-01-26 23:00:00,2,0,0,0,2020-01-26,"California, US",False,2
Illinois,US,2020-01-26 23:00:00,1,0,0,0,2020-01-26,"Illinois, US",False,1
Washington,US,2020-01-26 23:00:00,1,0,0,0,2020-01-26,"Washington, US",False,1
,Vietnam,2020-01-26 23:00:00,2,0,0,0,2020-01-26,Vietnam,False,2
