province,country,last_update,confirmed,suspected,recovered,deaths,date,location,is_china,active
Tibet,Mainland China,2020-01-22 12:00:00,0,0,0,0,2020-01-22,"Tibet, Mainland China",True,0
Xinjiang,Mainland China,2020-01-22 12:00:00,0,0,0,0,2020-01-22,"Xinjiang, Mainland China",True,0
Yunnan,Mainland China,2020-01-22 12:00:00,1,0,0,0,2020-01-22,"Yunnan, Mainland China",True,1
Zhejiang,Mainland China,2020-01-22 12:00:00,10,0,0,0,2020-01-22,"Zhejiang, Mainland China",True,10
,South Korea,2020-01-22 12:00:00,1,0,0,0,2020-01-22,South Korea,False,1
Taiwan,Taiwan,2020-01-22 12:00:00,1,0,0,0,2020-01-22,"Taiwan, Taiwan",False,1
,Thailand,2020-01-22 12:00:00,2,0,0,0,2020-01-22,Thailand,False,2
Washington,US,2020-01-22 12:00:00,1,0,0,0,2020-01-22,"Washington, US",False,1
,Australia,2020-01-23 12:00:00,0,1,0,0,2020-01-23,Australia,False,0
,Brazil,2020-01-23 12:00:00,0,1,0,0,2020-01-23,Brazil,False,0
,Colombia,2020-01-23 12:00:00,0,1,0,0,2020-01-23,Colombia,False,0
Hong Kong,Hong Kong,2020-01-23 12:00:00,2,65,0,0,2020-01-23,"Hong Kong, Hong Kong",False,2
,Japan,2020-01-23 12:00:00,1,0,0,0,2020-01-23,Japan,False,1
Macau,Macau,2020-01-23 12:00:00,2,0,0,0,2020-01-23,"Macau, Macau",False,2
Anhui,Mainland China,2020-01-23 12:00:00,9,4,0,0,2020-01-23,"Anhui, Mainland China",True,9
Beijing,Mainland China,2020-01-23 12:00:00,22,0,0,0,2020-01-23,"Beijing, Mainland China",True,22
Chongqing,Mainland China,2020-01-23 12:00:00,9,0,0,0,2020-01-23,"Chongqing, Mainland China",True,9
Fujian,Mainland China,2020-01-23 12:00:00,5,2,0,0,2020-01-23,"Fujian, Mainland China",True,5
Gansu,Mainland China,2020-01-23 12:00:00,2,0,0,0,2020-01-23,"Gansu, Mainland China",True,2
Guangdong,Mainland China,2020-01-23 12:00:00,32,1,2,0,2020-01-23,"Guangdong, Mainland China",True,30
Guangxi,Mainland China,2020-01-23 12:00:00,5,0,0,0,2020-01-23,"Guangxi, Mainland China",True,5
Guizhou,Mainland China,2020-01-23 12:00:00,3,0,0,0,2020-01-23,"Guizhou, Mainland China",True,3
Hainan,Mainland China,2020-01-23 12:00:00,5,32,0,0,2020-01-23,"Hainan, Mainland China",True,5
Hebei,Mainland China,2020-01-23 12:00:00,1,0,0,1,2020-01-23,"Hebei, Mainland China",True,0
Heilongjiang,Mainland China,2020-01-23 12:00:00,2,0,0,0,2020-01-23,"Heilongjiang, Mainland China",True,2
